BGM#,SD Label,Game Title,Track Title,Console,Track Type,Location,Composers,Platform,Year of Release,Youtube URL
1,Best VGM 01,Wild Arms,A Dusty Wind Blows Through Town,PS1,LEVEL,Adlehyde / Rosetta / Saint Centour,Michiko Naruke,PS1,1997,https://youtu.be/OWSGR00oLac
2,Best VGM 02,Metroid Prime,"Deep Edge, Phendrana Drifts",GC,LEVEL,Phendrana Drifts ~ Deep Edge Sector,Kenji Yamamoto,GameCube,2002,https://youtu.be/X6tuJ7dXOXg
3,Best VGM 03,Castlevania: Curse of Darkness,Garibaldi Courtyard,PS2,LEVEL,Garibaldi Courtyard,Michiru Yamane,PS2,2005,https://youtu.be/RQJEhW7YjK8
4,Best VGM 04,Final Fantasy X,Silence Before The Storm,PS2,LEVEL,Macalania Woods,Nobuo Uematsu,PS2,2001,https://youtu.be/_Ta3diEu8lo
5,Best VGM 05,Silent Hill 2,Theme Of Laura,PS2,SCENE,Opening,Akira Yamoaka,PS2 / Xbox / PC,2001,https://youtu.be/6s4XH4vhUz0
6,Best VGM 06,Chrono Trigger,Undersea Palace,SNES,LEVEL,Undersea Palace / Melchior's Hut,Yasunori Mitsuda,SNES,1995,https://youtu.be/MT7OJbuVJq4
7,Best VGM 07,Chaos Legion,Feel No Fear,PS2,LEVEL,Sky Gallery,Hideyuki Fukasawa,PS2,2003,https://youtu.be/APBxyDpwNSM
8,Best VGM 08,Shadow Hearts: Covenant,Battle With The Fallen Angel,PS2,BOSS,Astaroth,Yasunori Mitsuda,PS2,2004,https://youtu.be/03XHIA5nUBg
9,Best VGM 09,Tribes: Starsiege,Desert,PC,LEVEL,Desert Stages,Timothy Steven Clarke,PC,2001,https://youtu.be/_Oeo_phEc4A
10,Best VGM 10,Secret of Mana,What The Forest Taught Me,SNES,LEVEL,Upperland (Overworld),Hiroki Kikuta,SNES,1993,https://youtu.be/yfcBbx9j5yM
11,Best VGM 11,The Legend of Zelda: Ocarina of Time,Song Of Storms,N64,LEVEL,Kakariko Village ~ Windmill Hut,Koji Kondo,N64 / 3DS,1998,https://youtu.be/LcZ3vlY3-Q0
12,Best VGM 12,Beyond Good And Evil,Home Sweet Home,6TH,THEME,Main Theme,Christophe Heral,GameCube / Xbox / PS2 / PC,2003,https://youtu.be/e2_xI_9s8TY
13,Best VGM 13,Yoshi's Island,Island,SNES,LEVEL,Island Stages,Koji Kondo,SNES,1995,https://youtu.be/VGxOoUuaFac
14,Best VGM 14,Wild Arms,Marsh Where The Migrant Birds Gather,PS1,LEVEL,Timney Harbor / Milama,Michiko Naruke,PS1,1997,https://youtu.be/-CbKObZrBmY
15,Best VGM 15,Chrono Trigger,Silent Light,SNES,LEVEL,Manolia Cathedral,Nobuo Uematsu,SNES,1995,https://youtu.be/0uFeqdj8svc
16,Best VGM 16,Grandia II,Faith In Ourselves,DC,BOSS,FINAL BOSS ~ Valmar's Will,Noriyuki Iwadare,Dreamcast / PS2,2000,https://youtu.be/XS18_IIIEp0
17,Best VGM 17,Deus Ex,The Synapse,PC,LEVEL,Wan Chai,Alexander Brandon,PC,2001,https://youtu.be/SA19x8bzTC8
18,Best VGM 18,Kingdom Hearts II,The Afternoon Streets,PS2,LEVEL,Twilight Town,Yoko Shimomura,PS2,2006,https://youtu.be/_7V8nygG1VQ
19,Best VGM 19,Xenosaga Episode III: Also Sprach Zarathrustra,In A Limestone Cave,PS2,LEVEL,Miltia ~ Limestone Cave,Yuki Kajiura,PS2,2006,https://youtu.be/mEp2RmMOjmE
20,Best VGM 20,Final Fantasy VIII,Balamb Garden,PS1,LEVEL,Balamb Garden,Nobuo Uematsu,PS1,1999,https://youtu.be/CA4UNQuHe7Y
21,Best VGM 21,Persona 3,The Battle For Everyone's Souls,PS2,BOSS,FINAL BOSS ~ Nyx,Shoji Meguro,PS2,2007,https://youtu.be/L3vWM_VkO-8
22,Best VGM 22,Castlevania: Curse of Darkness,Cordova Town,PS2,LEVEL,Cordova Town,Michiru Yamane,PS2,2005,https://youtu.be/S_3QTNSGZDM
23,Best VGM 23,The 7th Saga,Fortress City,SNES,LEVEL,Fortress City,Norihiko Yamanuki,SNES,1993,https://youtu.be/iKL4ALWdMzM
24,Best VGM 24,The Legend of Zelda: Ocarina of Time,Gerudo Fortress,N64,LEVEL,Gerudo Fortress (Gerudo Valley),Koji Kondo,N64 / 3DS,1998,https://youtu.be/dx507J6R5oQ
