BVGM#,Label,Piece Title,Franchise,Game Title,Year of release,YouTube URL
Intro,#Intro,Opening,Super Mario,Super Mario 64,1996,
Prelude,#Prelude,To the Ancient Land (Intro),Team ICO,Shadow of the Colossus,2005,https://www.youtube.com/watch?v=5uqJX5isnrI
1805,#1805,Roses of May,Final Fantasy,Final Fantasy IX,2000,https://www.youtube.com/watch?v=_aNTnOxUQ0A
1804,#1804,Otherworldly Foe,Mother,Earthbound,1994,https://www.youtube.com/watch?v=H7os4F9YXaU
1803,#1803,Dungeon,Star Tropics,Star Tropics,1990,https://www.youtube.com/watch?v=dhwm9H5IE9o
1802,#1802,Karnath Carnage,Sabre Wulf,Sabre Wulf,2004,https://www.youtube.com/watch?v=zFvPNC0gc2I
1801,#1801,Final Battle,Ys,Ys Chronicles,2009,https://www.youtube.com/watch?v=TsfFGJiSgl4
1800,#1800,Bolderfall Atop the Precipice,Octopath Traveler,Octopath Traveler,2018,https://www.youtube.com/watch?v=T52-uLb8Tls
1799,#1799,Forgotten Isle 2,Super Mario,Super Mario Odyssey,2017,https://www.youtube.com/watch?v=MnFocSpYOgY
1798,#1798,Run! Run! Run!,Nintendo,Game Boy Camera,1998,https://www.youtube.com/watch?v=z_PuK4ueFAA
1797,#1797,Ocean,Vectorman,Vectorman,1995,https://www.youtube.com/watch?v=Bnk6Yp-U79w
1796,#1796,Crocovile Swamp,Spyro,A Hero's Tail,2004,https://www.youtube.com/watch?v=PMl_i6Ps1yI
1795,#1795,Village on the Water,Rayman,Rayman Origins,2011,https://youtu.be/VgI88M5uqUE
1794,#1794,City Ruins,Nier,Nier Automata,2017,https://youtu.be/HRswbEO_8gw
1793,#1793,Challenge,Breath of Fire,Breath of Fire,1993,https://youtu.be/qdjQ1yImpew
1792,#1792,Ice Cap Zone,Sonic,Sonic the Hedgehog 3,1994,https://www.youtube.com/watch?v=8KwX77oxL4w
1791,#1791,Rapunzel Gameplay,Catherine,Catherine,2011,https://youtu.be/f91qiaSSNQY
