BVGM#,Label,Game Title,Piece Title,Composer(s),Platform,Year of release,YouTube URL
1,Best VGM 001,Wild Arms,Into the Wilderness,Michiko Naruke,Playstation,1996,https://www.youtube.com/watch?v=hGKbdFhU8kE
2,,,,,,,
3,,,,,,,
4,Best VGM 004,Little Nemo: The Dream Master,Mushroom Forest,Junko Tamiya,NES,1990,https://www.youtube.com/watch?v=3ofLBaPDd-4
5,Best VGM 005,Mega Man Maverick Hunter X,Intro Stage: Central Highway,"Kento Hasegawa, Seiko Kobuchi, Shinya Okada",PSP,2006,https://www.youtube.com/watch?v=Ruh_VRxHEkk
6,Best VGM 006,Scribblenauts,Main Theme,David J. Franco,Nintendo DS,2009,https://www.youtube.com/watch?v=bmH0J6I8CcQ
7,,,,,,,
8,Best VGM 008,Contra 4,Stage 1 - Jungle (Easy/Normal),Jake Kaufman,DS,2007,https://www.youtube.com/watch?v=wqIB3QE1rpc
9,Best VGM 009,Mega Man 4,Dive Man Stage,Minae Fujii,NES,1992,https://www.youtube.com/watch?v=Ri76_KRr4wk
10,Best VGM 010,Tales of Symphonia,Fighting of the Spirits,Motoi Sakuraba,GameCube,2004,https://www.youtube.com/watch?v=VCAf69oOGAQ
11,,,,,,,
12,Best VGM 012,Viva Piñata,Tranquil Hours,Grant Kirkhope,"Xbox 360, PC",2006,https://www.youtube.com/watch?v=SvJE8F4NzlA
13,,,,,,,
14,,,,,,,
15,Best VGM 015,Harvest Moon: Save the Homeland,Winter (Town),"Kimitaka Matsumae, Hitomi Shimizu, Gary Ashiya, Suguru Yamaguchi",Playstation 2,2001,https://www.youtube.com/watch?v=t9oYp0XtpUU
16,,,,,,,
17,Best VGM 017,Sonic the Hedgehog 2,Chemical Plant Zone,Masato Nakamura,Genesis,1992,https://www.youtube.com/watch?v=NGedZ5K3sTk
18,Best VGM 018,No More Heroes,The Virgin Child Makes Her Wish Without Feeling Anything,Masafumi Takada,Wii,2008,https://www.youtube.com/watch?v=AZhojKNinOE
19,Best VGM 019,Baten Kaitos: Eternal Wings and the Lost Ocean,The True Mirror,Motoi Sakuraba,GameCube,2004,https://www.youtube.com/watch?v=dIYVcDPf6-0
20,Best VGM 020,Pac-Man 2: The New Adventures,Pause Toon,Fuken Tajima,Super Nintendo,1994,https://www.youtube.com/watch?v=91CzHSG0I8U
21,,,,,,,
22,Best VGM 022,Lemmings,Main Theme,Jay Waters,Playstation 3,2006,https://www.youtube.com/watch?v=QzmL-0is2A8
23,,,,,,,
24,,,,,,,
25,Best VGM 025,Sonic Heroes,Seaside Hill,Jun Senoue,"GameCube, Playstation 2, Xbox, PC",2004,https://www.youtube.com/watch?v=gf_L3mC8fyU
26,,,,,,,
27,Best VGM 027,Azure Dreams,Music Box,Hiroshi Tamawari,PlayStation,1998,https://www.youtube.com/watch?v=5DuFjVI86FY
28,Best VGM 028,Hudson's Adventure Island 3,Shipwreck Salvage,"Miyoshi Okuyama, Hirohiko Takayama",NES,1992,https://www.youtube.com/watch?v=Kibao1Ks8SU
29,,,,,,,
30,,,,,,,
31,Best VGM 031,deBlob 2,Stencil Jive,John Guscott,"Xbox 360, Playstation 3, Wii",2011,https://www.youtube.com/watch?v=Oxdg_kEkuLU
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,Best VGM 035,ToeJam & Earl in Panic on Funkotron,Theme Song,John Baker,Genesis,1993,https://www.youtube.com/watch?v=AOEonthS0rU
36,,,,,,,
37,Best VGM 037,Fable,Temple of Light,Russell Shaw,Xbox,2004,https://www.youtube.com/watch?v=e06IMAM4hS8
38,Best VGM 038,Harvest Moon 64,Flowerbud Village,Tsuyoshi Tanaka,Nintendo 64,1999,https://www.youtube.com/watch?v=F4DrAh4PJPs
39,,,,Yuki Iwai,,,
40,Best VGM 040,Gargoyle's Quest II,Hecate's Cave,,NES,1992,https://www.youtube.com/watch?v=KX4FmPVa6zI
41,Best VGM 041,NiGHTS into Dreams,Theme of a Tragedic Revenge,Naofumi Hataya,Saturn,1996,https://www.youtube.com/watch?v=68YDhvSM1PI
42,,,,,,,
43,Best VGM 043,Super Dragon Ball Z,King Kai's Planet,,Playstation 2,2006,https://www.youtube.com/watch?v=hgr5pxR_C2I
44,Best VGM 044,Sonic Adventure 2 /Sonic Adventure 2: Battle,Soarin' Over the Space (Cosmic Wall),,Dreamcast/GameCube,2001,https://www.youtube.com/watch?v=p-Eiythn2W8
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,Best VGM 048,Mega Man 8,Tengu Man Stage,,Playstation,1997,https://www.youtube.com/watch?v=obavCFHoEdg
49,Best VGM 049,Bonanza Bros.,Bonanza Go-Go,,Genesis,1991,https://www.youtube.com/watch?v=t17iOgbCP-A
50,Best VGM 050,Katamari Forever,Katamari on the Wings,,Playstation 3,2009,https://www.youtube.com/watch?v=f8fpbgi9E1Q
51,Best VGM 051,Dragon Ball Fusions,Final Boss Theme,,3DS,2016,https://www.youtube.com/watch?v=NQuyMHYmtm8
52,Best VGM 052,Trauma Team (2010),The Bloody Rose,,Wii,,https://www.youtube.com/watch?v=dT8maySzeRI
53,,,,,,,
54,Best VGM 054,Little Inferno,Reporting from the Weather Balloon,,"Wii U, PC, iOS/Android, Switch",2012,https://www.youtube.com/watch?v=JrjtYYzjzPE
55,Best VGM 055,Castlevania: Aria of Sorrow,Ruined Castle Corridor,,Game Boy Advance,2003,https://www.youtube.com/watch?v=IlTftx1mC2g
56,,,,,,,
57,,,,,,,
58,Best VGM 058,Teenage Mutant Ninja Turtles,Overworld,,NES,1989,https://www.youtube.com/watch?v=ZSPqe0IBwTA
59,,,,,,,
60,Best VGM 060,Lost Kingdoms II,Obenoix Gorge,,GameCube,2003,https://www.youtube.com/watch?v=6e5kp3p7G08
61,Best VGM 061,Ogre Battle: The March of the Black Queen,Wall of Defense,,SNES,1995,https://www.youtube.com/watch?v=ILFRiavmyAk
62,Best VGM 062,Leavin' Teramis,Title Screen,,Amiga,1989,https://www.youtube.com/watch?v=Q16Hoh8A6pA
63,Best VGM 063,Digimon Rumble Arena,Crazy Battlefield,,Playstation,2002,https://www.youtube.com/watch?v=mSE8dLdxVyw
64,Best VGM 064,Ecco the Dolphin,Aqua Vistas,,Sega CD,1993,https://www.youtube.com/watch?v=c8BFDpsVOi4
65,Best VGM 065,Soul Calibur III,Water Dance,,"Playstation 2, Arcade",2005,https://www.youtube.com/watch?v=ocP6K7bnXtE
66,Best VGM 066,Banjo-Kazooie,Spiral Mountain,,Nintendo 64,1998,https://www.youtube.com/watch?v=I1fv9nfw_Uo
67,Best VGM 067,Professor Layton and the Last Specter,Theme of the Last Battle,,DS,2011,https://www.youtube.com/watch?v=fURivQbGCHk
68,Best VGM 068,Eternal Sonata,Leap the Precipice,,"Xbox 360, Playstation 3",2007,https://www.youtube.com/watch?v=X9HewbycgTQ
69,,,,,,,
70,Best VGM 070,Cave Story 3D,Plantation,,3DS,2011,https://www.youtube.com/watch?v=gAHZEeA0vT8
71,Best VGM 071,Gotcha Force,Let's Tango!,,GameCube,2003,https://www.youtube.com/watch?v=KKbHfPG8Wwo
72,Best VGM 072,Choujin Sentai Jetman,Area A,,Famicom [Japan Only],1991,https://www.youtube.com/watch?v=joPg2OHsXg4
73,Best VGM 073,Ys: The Oath in Felghana,Illburns Ruins,,PSP,2010,https://www.youtube.com/watch?v=TXeaM9MXMJI
74,,,,,,,
75,Best VGM 075,Mega Man V,Saturn Stage,,Game Boy,1994,https://www.youtube.com/watch?v=BJFgNY-Iuns
