SD BVGM #,First Eng Title,Stylish Game Title,Track Title,Console,Track Type,Location,,
1,Wild Arms,Wild ARMs,A Dusty Wind Blows Through Town,PS1,LEVEL,Adlehyde / Rosetta / Saint Centour,MENU,"Title Screens, Maps, essentially any Menu Interface"
2,Metroid Prime,Metroid Prime,"Deep Edge, Phendrana Drifts",GC,LEVEL,Phendrana Drifts ~ Deep Edge Sector,LEVEL,Individual Stages with Controllable Characters
3,Castlevania: Curse of Darkness,Castlevania: Curse of Darkness,Garibaldi Courtyard,PS2,LEVEL,Garibaldi Courtyard,BOSS,"Story Bosses, Extra Bosses or Final Bosses"
4,Final Fantasy X,Final Fantasy X,Silence Before The Storm,PS2,LEVEL,Macalania Woods,THEME,Themes of Characters / Games
5,Silent Hill 2,Silent Hill 2,Theme Of Laura,PS2,SCENE,Opening,PLAY,"Gameplay types, not constrained by Levels"
6,Chrono Trigger,Chrono Trigger,Undersea Palace,SNES,LEVEL,Undersea Palace / Melchior's Hut,SCENE,"Cutscenes, Credits, essentially any type of Movie"
7,Chaos Legion,Chaos Legion,Feel No Fear,PS2,LEVEL,Sky Gallery,,
8,Shadow Hearts: Covenant,Shadow Hearts II,Battle With The Fallen Angel,PS2,BOSS,Astaroth,,
9,Tribes: Starsiege,Tribes: Starsiege,Desert,PC,LEVEL,Desert Stages,,
10,Secret of Mana,Secret of Mana,What The Forest Taught Me,SNES,LEVEL,Upperland (Overworld),,
11,The Legend of Zelda: Ocarina of Time,The Legend of Zelda: Ocarina of Time,Song Of Storms,N64,LEVEL,Kakariko Village ~ Windmill Hut,,
12,Beyond Good And Evil,Beyond Good And Evil,Home Sweet Home,6TH,THEME,Main Theme,,
13,Yoshi's Island,Yoshi's Island,Island,SNES,LEVEL,Island Stages,,
14,Wild Arms,Wild ARMs,Marsh Where The Migrant Birds Gather,PS1,LEVEL,Timney Harbor / Milama,,
15,Chrono Trigger,Chrono Trigger,Silent Light,SNES,LEVEL,Manolia Cathedral,,
16,Grandia II,Grandia II,Faith In Ourselves,DC,BOSS,FINAL BOSS ~ Valmar's Will,,
17,Deus Ex,Deus Ex,The Synapse,PC,LEVEL,Wan Chai,,
18,Kingdom Hearts II,Kingdom Hearts II,The Afternoon Streets,PS2,LEVEL,Twilight Town,,
19,Xenosaga Episode III: Also Sprach Zarathrustra,Xenosaga III: Also Sprach Zarathrustra,In A Limestone Cave,PS2,LEVEL,Miltia ~ Limestone Cave,,
20,Final Fantasy VIII,Final Fantasy VIII,Balamb Garden,PS1,LEVEL,Balamb Garden,,
21,Persona 3,Persona 3,The Battle For Everyone's Souls,PS2,BOSS,FINAL BOSS ~ Nyx,,
22,Castlevania: Curse of Darkness,Castlevania: Curse of Darkness,Cordova Town,PS2,LEVEL,Cordova Town,,
