BVGM#,SD Label,Game Title,Piece Title,Composer(s),Platform,Year of release,YouTube URL
1,Best VGM 01,Wild Arms,Town Theme,Michiko Naruke,PS1,1997,https://youtu.be/OWSGR00oLac
2,Best VGM 02,Metroid Prime,Ice Valley (Phendrana Deep Lake),Kenji Yamamoto,GameCube,2002,https://youtu.be/X6tuJ7dXOXg
3,Best VGM 03,Castlevania : Curse of Darkness,Garibaldi Courtyard,Michiru Yamane,PS2,2005,https://youtu.be/RQJEhW7YjK8
4,Best VGM 04,Final Fantasy X,Silence Before the Storm,Nobuo Uematsu,PS2,2001,https://youtu.be/_Ta3diEu8lo
5,Best VGM 05,Silent Hill 2,Theme of Laura,Akira Yamoaka,PS2 / Xbox / PC,2001,https://youtu.be/6s4XH4vhUz0
6,Best VGM 06,Chrono Trigger,Undersea Palace,Yasunori Mitsuda,SNES,1995,https://youtu.be/MT7OJbuVJq4
7,Best VGM 07,Chaos Legion,Feel No Fear (Sky Gallery),Hideyuki Fukasawa,PS2,2003,https://youtu.be/APBxyDpwNSM
8,Best VGM 08,Shadow Hearts II : Covenant,Astaroth (Fallen Angel Battle),Yasunori Mitsuda,PS2,2004,https://youtu.be/03XHIA5nUBg
9,Best VGM 09,Tribes 2,Desert,Timothy Steven Clarke,PC,2001,https://youtu.be/_Oeo_phEc4A
10,Best VGM 10,Secret of Mana,What the Forest Taught Me,Hiroki Kikuta,SNES,1993,https://youtu.be/yfcBbx9j5yM
11,Best VGM 11,Zelda : Ocarina of Time,Song of Storms (Windmill Hut),Koji Kondo,N64 / 3DS,1998,https://youtu.be/LcZ3vlY3-Q0
12,Best VGM 12,Beyond Good & Evil,Home Sweet Home,Christophe Heral,GameCube / Xbox / PS2 / PC,2003,https://youtu.be/e2_xI_9s8TY
13,Best VGM 13,Yoshi's Island,"Overworld Stage (Touch Fuzzy, Get Dizzy)",Koji Kondo,SNES,1995,https://youtu.be/VGxOoUuaFac
14,Best VGM 14,Wild Arms,Marsh Where the Migrant Birds Gather (Port Town Theme),Michiko Naruke,PS1,1997,https://youtu.be/-CbKObZrBmY
15,Best VGM 15,Chrono Trigger,Silent Light,Nobuo Uematsu,SNES,1995,https://youtu.be/0uFeqdj8svc
16,Best VGM 16,Grandia II,Fight!! Ver.4 ~ Final Battle,Noriyuki Iwadare,Dreamcast / PS2,2000,https://youtu.be/XS18_IIIEp0
17,Best VGM 17,Deus Ex,The Synapse (Wan Chai),Alexander Brandon,PC,2001,https://youtu.be/SA19x8bzTC8
18,Best VGM 18,Kingdom Hearts II,The Afternoon Streets,Yoko Shimomura,PS2,2006,https://youtu.be/_7V8nygG1VQ
19,Best VGM 19,Xenosaga III,In a Limestone Cave,Yuki Kajiura,PS2,2006,https://youtu.be/mEp2RmMOjmE
20,Best VGM 20,Final Fantasy VIII,Balamb Garden,Nobuo Uematsu,PS1,1999,https://youtu.be/CA4UNQuHe7Y
